epoch,train_loss,train_loss_pad,train_loss_spoof,train_loss_illum,train_loss_env,train_loss_proto,train_loss_total,val_acc,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp
0,0.12973454126984946,0.00025859122979454696,0.056649114936590195,0.3273436427116394,0.06042458862066269,6.651212606811896e-05,0.05603347346186638,0.9982962476393793,0.9987399614397838,0.9999584146860713,0.001578340314453955,0.00196575776791376,0.0017720490411838575,0.046363636363636364,15739,31,52,32894
1,0.04561275766070104,0.06481622159481049,0.19570055603981018,0.20202963054180145,0.15919500589370728,0.07870277762413025,0.16358400881290436,0.9986041546925035,0.9989674441205053,0.9999850315196508,0.001578340314453955,0.001014584654407102,0.0012964624844305286,0.8377070707070707,15754,16,52,32894
2,0.03075305619269036,0.004263617563992739,0.1329493224620819,0.19943636655807495,0.08485172688961029,0.004027259536087513,0.07277859002351761,0.9989325888825027,0.9992108777467524,0.999973587185826,0.0007284647605172099,0.0017755231452124287,0.0012519939528648192,0.1774141414141414,15742,28,24,32922
3,0.023074699630019003,8.594695827923715e-05,0.0009497195133008063,0.07395687699317932,0.0019541289657354355,0.00011354751040926203,0.007967641577124596,0.9988504803350029,0.9991498147810773,0.9999866886961432,0.00121410793419535,0.001014584654407102,0.0011143462943012262,0.36894949494949497,15754,16,40,32906
4,0.018795228587304487,2.1085434127599e-05,0.04429606348276138,0.07392478734254837,0.05755273252725601,5.36764673597645e-05,0.02646034024655819,0.9987478446506282,0.9990738632050407,0.9999813976645783,0.001335518727614885,0.001077996195307546,0.0012067574614612155,0.1370909090909091,15753,17,44,32902
5,0.015916517067359335,9.347805644210894e-06,0.004406345542520285,0.09245339035987854,0.018603039905428886,1.2177661119494587e-05,0.012437502853572369,0.9990352245668774,0.9992864841887933,0.999994048792434,0.0010319917440660474,0.0008243500317057704,0.000928170887885909,0.8175454545454546,15757,13,34,32912
6,0.014050077059402694,4.481530049815774e-05,0.0013699783012270927,0.018268514424562454,0.08058608323335648,6.946826761122793e-05,0.01034474279731512,0.9994252401675014,0.9995749719177874,0.9999972380391795,0.0006374066654525587,0.00044388078630310716,0.0005406437258778329,0.8175454545454546,15763,7,21,32925
7,0.011828380058091626,4.600853117153747e-06,0.01981484517455101,0.03668775036931038,0.0016285578021779656,1.5166561752266716e-05,0.009781443513929844,0.99800886772313,0.9985262166309616,0.9999839402083023,0.0026103320585200026,0.0006975269499048827,0.0016539295042124426,0.39415151515151514,15759,11,86,32860
8,0.011104124849938179,0.00037647111457772553,0.0032728221267461777,0.01174157951027155,0.004141889046877623,0.0007844832725822926,0.0029858886264264584,0.9970235651531324,0.997798794650312,0.9998924981333187,0.0024889212651004675,0.003994927076727965,0.003241924170914216,0.9838787878787879,15707,63,82,32864
9,0.009956512706560412,8.991012873593718e-05,0.0011808328563347459,0.06549957394599915,0.004088173620402813,8.236472785938531e-05,0.0074070533737540245,0.9987683717875031,0.9990891978869391,0.9999847408882335,0.0011534025374855825,0.0013950538998097654,0.0012742282186476738,0.13205050505050506,15748,22,38,32908
